Year,Name, MeanAvgTemperature, mcnt
1965,MERRIMAN, M,158
1965,MCCOOK, M,2669
1965,MCCOOK MUNI AP, M,1595
1965,NORFOLK KARL STEFAN AP,48.1,1
1965,LEXINGTON KELLY FLD, M,1076
1965,LEXINGTON 7 ESE, M,1064
1965,CLAY CTR, M,2428
1965,CLAY CTR 6 ESE, M,301
1965,OMAHA EPPLEY AIRFIELD,51,0
1965,CHADRON MUNI AP,47.4,2
1965,BURWELL, M,195
1965,FALLS CITY,53.4,3
1965,FALLS CITY BRENNER FLD, M,15
1965,ENDERS LAKE, M,12
1965,GENEVA, M,17
1965,MINDEN, M,48
1965,HAYES CENTER, M,35
1965,IMPERIAL MUNI AP, M,1046
1965,IMPERIAL,50.8,3
1965,HASTINGS 4 N, M,217
1965,FAIRMONT, M,151
1965,CURTIS 3 NNE, M,17
1965,CRETE, M,6
1965,NEBRASKA CITY 2NW, M,22
1965,SYRACUSE, M,82
1965,ROCA 6NNE, M,3653
1965,KEARNEY 4 NE, M,25
1965,LINCOLN COLLEGE VIEW, M,3170
1965,WELLFLEET, M,3604
1965,LINCOLN UNIV PWR PLT, M,123
1965,WALLACE 2 W, M,49
1965,WEEPING WATER, M,236
1965,LINCOLN AGRNMY FARM, M,2260
1965,TRYON, M,306
1965,Scottsbluff Area,48.1,3
1965,Grand Island Area,50,0
1965,North Platte Area,47.6,0
1965,Lincoln Area,51.4,0
1965,Norfolk Area,48.1,1
1965,Omaha Area,51,0
1965,Valentine Area,46.8,3
1965,OMAHA WSFO, M,18
1965,FREMONT, M,23
1965,ARCADIA, M,3623
1965,BROKEN BOW 2 W, M,82
1965,ARNOLD, M,3519
1965,STAPLETON 5 SSE,48.5,5
1965,OSHKOSH, M,18
1965,DALTON,49.3,4
1965,COLUMBUS 3 NE, M,36
1965,GENOA 2 W,49.3,2
1965,NORTH LOUP, M,140
1965,BLAIR, M,34
1965,GREELEY, M,29
1965,ARTHUR, M,33
1965,ORD, M,3262
1965,ANSELMO 2 SE, M,319
1965,ALBION, M,95
1965,BRIDGEPORT, M,14
1965,HARRISBURG 12WNW, M,26
1965,CLARKSON, M,100
1965,TEKAMAH, M,253
1965,TAYLOR, M,3448
1965,CRESCENT LAKE, M,131
1965,WEST POINT, M,25
1965,MADISON 2W, M,11
1965,SCOTTSBLUFF HEILIG AP,48.1,3
1965,HALSEY 2 W, M,118
1965,STANTON, M,47
1965,BREWSTER, M,57
1965,MITCHELL 5 E, M,13
1965,CANADAY STEAM PLT, M,100
1965,SUPERIOR 4E, M,214
1965,GUIDE ROCK, M,3387
1965,HARLAN CO LAKE, M,11
1965,BENKELMAN, M,19
1965,PAWNEE CITY, M,51
1965,FAIRBURY, M,16
1965,RED CLOUD, M,19
1965,FRANKLIN, M,26
1965,ALMA, M,40
1965,BEAVER CITY, M,15
1965,HEBRON,51.4,2
1965,TRENTON DAM,49.9,4
1965,TABLE ROCK 4 N, M,3650
1965,CULBERTSON, M,190
1965,BEATRICE, M,16
1965,ROSEMONT 2 S, M,2503
1965,CAMBRIDGE, M,9
1965,RAGAN, M,3645
1965,AUBURN 5 ESE, M,37
1965,TECUMSEH, M,24
1965,MEDICINE CREEK DAM, M,154
1965,RED WILLOW DAM, M,127
1965,HOLDREGE, M,6
1965,HOLDREGE 1 E, M,2648
1965,LINCOLN MUNI AP, M,2800
1965,YORK, M,8
1965,AURORA, M,29
1965,MADRID, M,7
1965,SEWARD, M,34
1965,GOTHENBURG, M,11
1965,GRAND ISLAND AP,50,0
1965,RAVENNA,50.1,5
1965,ASHLAND 2, M,160
1965,OCONTO, M,53
1965,NORTH PLATTE EXP FM, M,48
1965,BIG SPRINGS, M,503
1965,BELLEVUE OFFUTT AFB, M,1512
1965,ULYSSES 3 NNE, M,3340
1965,CENTRAL CITY, M,7
1965,NORTH PLATTE RGNL AP,47.6,0
1965,OGALLALA, M,44
1965,SIDNEY MUNI AP, M,8
1965,SIDNEY 6 NNW, M,62
1965,MEAD 6 S, M,1397
1965,OSCEOLA, M,66
1965,HERSHEY 5 SSE, M,474
1965,LODGEPOLE, M,16
1965,WAHOO, M,108
1965,SAINT PAUL, M,135
1965,KINGSLEY DAM, M,16
1965,KIMBALL 2NE, M,11
1965,DAVID CITY, M,13
1965,LOUP CITY, M,119
1965,HYANNIS, M,2022
1965,OAKDALE, M,10
1965,CHAMBERS, M,1932
1965,PURDUM, M,43
1965,MULLEN, M,278
1965,ALLIANCE, M,21
1965,BOX BUTTE EXP STN, M,34
1965,WALTHILL, M,460
1965,ROSE 10 WNW, M,2503
1965,ELSMERE, M,95
1965,WAKEFIELD,48.1,5
1965,EWING, M,39
1965,BROWNLEE, M,1209
1965,MULLEN 21 NW, M,304
1965,ELLSWORTH 15 NNE, M,16
1965,NE NEBRASKA EXP STN, M,265
1965,OSMOND, M,109
1965,HEMINGFORD, M,31
1965,AGATE 3 E, M,1475
1965,CREIGHTON, M,26
1965,O NEILL, M,17
1965,HAY SPRINGS 12 S, M,68
1965,ATKINSON 3SW, M,39
1965,AINSWORTH, M,9
1965,VALENTINE NWR, M,37
1965,HARTINGTON, M,43
1965,BLOOMFIELD, M,3641
1965,NEWPORT, M,10
1965,NENZEL 20 S, M,70
1965,HAY SPRINGS, M,118
1965,FT ROBINSON, M,499
1965,HARRISON, M,33
1965,RUSHVILLE, M,3419
1965,NIOBRARA, M,41
1965,SPENCER 5 SSE, M,3262
1965,SPRINGVIEW, M,35
1965,GORDON 6 N, M,96
1965,GAVINS POINT DAM, M,19
1965,VALENTINE MILLER FLD,46.8,3
1965,BUTTE, M,87
