FIPS,NaturalAmenityScale
20019,0.23
20021,-0.98
20023,-0.14
20025,0.22
20027,-0.80
20029,-1.49
20031,-0.95
20033,-1.26
20035,-1.25
20037,-1.00
20039,-0.83
20041,-0.96
20043,-2.07
20045,0.36
20047,-3.01
20049,0.13
20051,-2.31
20053,-0.19
20055,-0.35
20057,-0.84
20059,-1.97
20061,0.39
20063,-1.79
20065,-1.28
20067,-0.97
20069,-0.96
20071,-1.80
20073,0.66
20075,-0.59
20077,-1.26
20079,-1.71
20081,-0.61
20083,-0.94
20085,-2.85
20087,-1.06
20089,-0.20
20091,-1.69
20093,-0.36
20095,-0.77
20097,-2.08
20099,-1.05
20101,-0.90
20103,-0.35
20105,-1.33
20107,-1.53
20109,-1.43
20111,-0.48
20113,-1.81
20115,-0.81
20117,-1.38
20119,-0.16
20121,-1.15
20123,0.32
20125,-0.81
20127,-0.40
20129,-1.59
20131,-3.62
20133,-1.01
20135,-1.54
20137,1.57
20139,-1.17
20141,-1.07
20143,-1.67
20145,-2.07
20147,0.15
20149,-0.09
20151,-1.42
20153,-1.50
20155,-0.42
20157,-1.61
20159,-1.62
20161,-0.11
20163,-0.94
20165,-2.57
20167,0.12
20169,-1.03
20171,-1.50
20173,-0.70
20175,-0.21
20177,-1.76
20179,-1.21
20181,-1.34
20183,-0.94
20185,-1.52
20187,-1.59
20189,-1.18
20191,-1.15
20193,-1.58
20195,0.81
20197,0.40
20199,-1.45
20201,-2.95
20203,-1.80
20205,-1.75
20207,-0.36
20209,-0.17
21001,0.24
21003,-1.50
21005,-0.45
21007,-0.55
21009,-1.47
21011,0.32
21013,0.12
21015,0.29
21017,-3.18
21019,0.28
21021,-0.23
21023,0.50
21025,-1.36
21027,0.35
21029,-0.87
21031,-0.06
21033,-0.52
21035,-0.58
21037,0.39
21039,-1.03
21041,0.37
21043,0.12
21045,-1.97
21047,-0.63
21049,-0.51
21051,-1.46
21053,0.62
21055,0.46
21057,0.65
21059,-1.20
21061,0.62
21063,0.29
21065,0.55
21067,-2.39
21069,-0.86
21071,0.04
21073,-0.34
21075,-0.46
21077,0.63
21079,-1.23
21081,-0.93
21083,-2.48
21085,0.21
21087,-3.72
21089,0.62
21091,0.48
21093,-0.69
21095,0.37
21097,-1.72
21099,-0.07
21101,-0.72
21103,-0.46
21105,-0.84
21107,-0.21
21109,-0.82
21111,0.32
21113,-1.99
21115,0.64
21117,-1.62
21119,0.07
21121,-1.49
21123,-1.22
21125,1.25
21127,-0.19
21129,0.53
21131,-0.41
21133,-0.74
21135,0.78
21137,-1.25
21139,0.75
21141,-0.75
21143,1.51
21145,-0.87
21147,0.73
21149,-1.52
21151,-0.10
21153,-1.67
21155,-1.32
21157,-0.24
21159,-0.92
21161,0.40
21163,0.76
21165,0.46
21167,-0.03
21169,-3.16
21171,-0.10
21173,-1.12
21175,0.39
21177,0.21
21179,-0.63
21181,-1.43
21183,-0.21
21185,-0.85
21187,-0.64
21189,-1.67
21191,-0.74
21193,-0.19
21195,-0.18
21197,-1.28
21199,0.61
21201,-1.91
21203,-0.35
21205,0.97
21207,1.33
21209,-1.89
21211,-0.71
21213,-3.98
21215,0.39
21217,0.45
21219,-0.98
21221,0.99
21223,0.31
21225,0.72
21227,-0.68
21229,-0.58
21231,0.89
21233,-2.30
21235,1.15
21237,-1.00
21239,-2.04
22001,-1.56
22003,-2.38
22005,-1.22
22007,-0.22
22009,-0.50
22011,-1.45
22013,-0.03
22015,0.25
22017,0.65
22019,-0.67
22021,0.35
22023,0.77
22025,0.08
22027,0.08
22029,-0.18
22031,0.37
22033,-0.73
22035,-1.24
22037,-1.46
22039,-0.56
22041,-1.35
22043,-0.20
22045,0.48
22047,-0.56
22049,0.20
22051,0.18
22053,-1.04
22055,-2.47
22057,0.11
22059,-0.02
22061,-0.99
22063,0.07
22065,-0.68
22067,-1.85
22069,0.39
22071,0.14
22073,0.51
22075,0.30
22077,0.17
22079,-0.21
22081,1.11
22083,-1.75
22085,1.63
22087,0.37
22089,-0.10
22091,-2.02
22093,-1.12
22095,-0.34
